,agency,borough,closed,complaint_type,total,perc_closed,closed_within_a_day,number_of_records,past_number_of_weeks,created_after_timestamp,overall_closed_within_a_day
0,DOB,QUEENS,517,Plumbing,650,0.7953846153846154,0.08897485493230174,517,12.0,2017-05-30T00:26:49.336441,0.07076923076923076
1,DOB,QUEENS,253,Special Enforcement,385,0.6571428571428571,0.007905138339920948,253,12.0,2017-05-30T00:26:49.336441,0.005194805194805195
2,DOB,MANHATTAN,799,Elevator,931,0.8582169709989259,0.25782227784730916,799,12.0,2017-05-30T00:26:49.336441,0.22126745435016115
3,DOB,BROOKLYN,19,Cranes and Derricks,19,1.0,0.6842105263157895,19,12.0,2017-05-30T00:26:49.336441,0.6842105263157895
4,DOB,STATEN ISLAND,39,Elevator,42,0.9285714285714286,0.1794871794871795,39,12.0,2017-05-30T00:26:49.336441,0.16666666666666669
5,DOB,BRONX,5,Investigations and Discipline (IAD),6,0.8333333333333334,0.4,5,12.0,2017-05-30T00:26:49.336441,0.33333333333333337
6,DOB,QUEENS,14,BEST/Site Safety,18,0.7777777777777778,0.5,14,12.0,2017-05-30T00:26:49.336441,0.3888888888888889
7,DOB,QUEENS,176,Electrical,208,0.8461538461538461,0.2727272727272727,176,12.0,2017-05-30T00:26:49.336441,0.23076923076923075
8,DOB,BROOKLYN,35,Boilers,46,0.7608695652173914,0.11428571428571428,35,12.0,2017-05-30T00:26:49.336441,0.08695652173913043
9,DOB,BROOKLYN,890,Building/Use,2148,0.4143389199255121,0.23820224719101124,890,12.0,2017-05-30T00:26:49.336441,0.09869646182495344
10,DOB,BROOKLYN,16,Scaffold Safety,17,0.9411764705882353,0.75,16,12.0,2017-05-30T00:26:49.336441,0.7058823529411764
11,DOB,BRONX,819,Elevator,1000,0.819,0.07448107448107448,819,12.0,2017-05-30T00:26:49.336441,0.061
12,DOB,STATEN ISLAND,2,Investigations and Discipline (IAD),2,1.0,0.0,2,12.0,2017-05-30T00:26:49.336441,0.0
13,DOB,BROOKLYN,6,Special Natural Area District (SNAD),6,1.0,0.16666666666666666,6,12.0,2017-05-30T00:26:49.336441,0.16666666666666666
14,DOB,BROOKLYN,2060,General Construction/Plumbing,2680,0.7686567164179104,0.5237864077669903,2060,12.0,2017-05-30T00:26:49.336441,0.40261194029850744
15,DOB,QUEENS,6,Emergency Response Team (ERT),7,0.8571428571428571,0.5,6,12.0,2017-05-30T00:26:49.336441,0.42857142857142855
16,DOB,MANHATTAN,19,Investigations and Discipline (IAD),19,1.0,0.10526315789473684,19,12.0,2017-05-30T00:26:49.336441,0.10526315789473684
17,DOB,BRONX,565,General Construction/Plumbing,746,0.7573726541554959,0.4247787610619469,565,12.0,2017-05-30T00:26:49.336441,0.32171581769436997
18,DOB,BRONX,0,Special Natural Area District (SNAD),3,0.0,,,,,
19,DOB,MANHATTAN,29,Cranes and Derricks,29,1.0,0.4482758620689655,29,12.0,2017-05-30T00:26:49.336441,0.4482758620689655
20,DOB,BROOKLYN,722,Elevator,837,0.8626045400238949,0.1786703601108033,722,12.0,2017-05-30T00:26:49.336441,0.15412186379928314
21,DOB,BRONX,11,Scaffold Safety,11,1.0,0.8181818181818182,11,12.0,2017-05-30T00:26:49.336441,0.8181818181818182
