,agency,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
0,NYPD,6.0,6,4,2017-07-24T20:44:41.174009
1,HPD,1.0,550,4,2017-07-24T20:44:41.174009
2,DPR,22.0,6,4,2017-07-24T20:44:41.174009
3,DOF,5.0,118,4,2017-07-24T20:44:41.174009
4,DFTA,2.0,12,4,2017-07-24T20:44:41.174009
5,DOB,15.0,42,4,2017-07-24T20:44:41.174009
6,DSNY,11.0,16,4,2017-07-24T20:44:41.174009
7,DOT,24.0,3,4,2017-07-24T20:44:41.174009
8,DSNY,5.0,405,4,2017-07-24T20:44:41.174009
9,DOB,14.0,42,4,2017-07-24T20:44:41.174009
10,DOB,18.0,13,4,2017-07-24T20:44:41.174009
11,DOF,11.0,37,4,2017-07-24T20:44:41.174009
12,DOB,3.0,238,4,2017-07-24T20:44:41.174009
13,DEP,13.0,19,4,2017-07-24T20:44:41.174009
14,DOF,19.0,8,4,2017-07-24T20:44:41.174009
15,DSNY,19.0,1,4,2017-07-24T20:44:41.174009
16,NYPD,4.0,206,4,2017-07-24T20:44:41.174009
17,DOHMH,1.0,275,4,2017-07-24T20:44:41.174009
18,HPD,23.0,46,4,2017-07-24T20:44:41.174009
19,DOT,0.0,4942,4,2017-07-24T20:44:41.174009
20,DCA,16.0,316,4,2017-07-24T20:44:41.174009
21,HPD,16.0,366,4,2017-07-24T20:44:41.174009
22,DEP,25.0,5,4,2017-07-24T20:44:41.174009
23,DSNY,7.0,163,4,2017-07-24T20:44:41.174009
24,DOT,22.0,2,4,2017-07-24T20:44:41.174009
25,DFTA,4.0,17,4,2017-07-24T20:44:41.174009
26,DOF,7.0,98,4,2017-07-24T20:44:41.174009
27,DPR,24.0,4,4,2017-07-24T20:44:41.174009
28,NYPD,2.0,426,4,2017-07-24T20:44:41.174009
29,TLC,21.0,5,4,2017-07-24T20:44:41.174009
30,TLC,20.0,6,4,2017-07-24T20:44:41.174009
31,NYCEM,1.0,2,4,2017-07-24T20:44:41.174009
32,DCA,1.0,369,4,2017-07-24T20:44:41.174009
33,DPR,0.0,772,4,2017-07-24T20:44:41.174009
34,DOITT,13.0,8,4,2017-07-24T20:44:41.174009
35,DOHMH,16.0,22,4,2017-07-24T20:44:41.174009
36,DOB,8.0,125,4,2017-07-24T20:44:41.174009
37,DEP,17.0,14,4,2017-07-24T20:44:41.174009
38,DFTA,6.0,14,4,2017-07-24T20:44:41.174009
39,DOHMH,12.0,78,4,2017-07-24T20:44:41.174009
40,DPR,3.0,259,4,2017-07-24T20:44:41.174009
41,TLC,7.0,12,4,2017-07-24T20:44:41.174009
42,DOT,8.0,152,4,2017-07-24T20:44:41.174009
43,HPD,10.0,668,4,2017-07-24T20:44:41.174009
44,DEP,2.0,779,4,2017-07-24T20:44:41.174009
45,DOHMH,10.0,72,4,2017-07-24T20:44:41.174009
46,DOITT,6.0,4,4,2017-07-24T20:44:41.174009
47,DSNY,21.0,1,4,2017-07-24T20:44:41.174009
48,DFTA,13.0,3,4,2017-07-24T20:44:41.174009
49,DOF,20.0,2,4,2017-07-24T20:44:41.174009
50,DHS,2.0,10,4,2017-07-24T20:44:41.174009
51,DOF,21.0,10,4,2017-07-24T20:44:41.174009
52,DPR,18.0,6,4,2017-07-24T20:44:41.174009
53,HPD,12.0,465,4,2017-07-24T20:44:41.174009
54,DPR,14.0,39,4,2017-07-24T20:44:41.174009
55,DPR,15.0,25,4,2017-07-24T20:44:41.174009
56,DOB,22.0,9,4,2017-07-24T20:44:41.174009
57,DHS,6.0,3,4,2017-07-24T20:44:41.174009
58,DOT,3.0,879,4,2017-07-24T20:44:41.174009
59,DOITT,2.0,2,4,2017-07-24T20:44:41.174009
60,DOE,1.0,3,4,2017-07-24T20:44:41.174009
61,DOHMH,9.0,86,4,2017-07-24T20:44:41.174009
62,DPR,8.0,101,4,2017-07-24T20:44:41.174009
63,DEP,4.0,312,4,2017-07-24T20:44:41.174009
