agency,borough,complaint_type,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
DOB,BROOKLYN,BEST/Site Safety,0,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,1,9,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,2,7,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,3,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,4,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,5,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,6,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,7,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,8,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,9,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,10,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,12,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,15,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,31,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,41,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,BEST/Site Safety,48,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,0,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,1,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,2,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,3,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,4,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,5,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Boilers,6,3,12,2017-05-29T22:38:45.331470
