,agency,borough,complaint_type,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
0,DOB,STATEN ISLAND,BEST/Site Safety,0.0,1,12,2017-06-17T13:04:38.048065
1,DOB,STATEN ISLAND,BEST/Site Safety,1.0,1,12,2017-06-17T13:04:38.048065
2,DOB,STATEN ISLAND,Boilers,1.0,1,12,2017-06-17T13:04:38.048065
3,DOB,STATEN ISLAND,Building/Use,0.0,4,12,2017-06-17T13:04:38.048065
4,DOB,STATEN ISLAND,Building/Use,1.0,18,12,2017-06-17T13:04:38.048065
5,DOB,STATEN ISLAND,Building/Use,2.0,23,12,2017-06-17T13:04:38.048065
6,DOB,STATEN ISLAND,Building/Use,3.0,10,12,2017-06-17T13:04:38.048065
7,DOB,STATEN ISLAND,Building/Use,4.0,11,12,2017-06-17T13:04:38.048065
8,DOB,STATEN ISLAND,Building/Use,5.0,12,12,2017-06-17T13:04:38.048065
9,DOB,STATEN ISLAND,Building/Use,6.0,14,12,2017-06-17T13:04:38.048065
10,DOB,STATEN ISLAND,Building/Use,7.0,14,12,2017-06-17T13:04:38.048065
11,DOB,STATEN ISLAND,Building/Use,8.0,9,12,2017-06-17T13:04:38.048065
12,DOB,STATEN ISLAND,Building/Use,9.0,6,12,2017-06-17T13:04:38.048065
13,DOB,STATEN ISLAND,Building/Use,10.0,1,12,2017-06-17T13:04:38.048065
14,DOB,STATEN ISLAND,Building/Use,11.0,3,12,2017-06-17T13:04:38.048065
15,DOB,STATEN ISLAND,Building/Use,12.0,1,12,2017-06-17T13:04:38.048065
16,DOB,STATEN ISLAND,Building/Use,13.0,4,12,2017-06-17T13:04:38.048065
17,DOB,STATEN ISLAND,Building/Use,14.0,3,12,2017-06-17T13:04:38.048065
18,DOB,STATEN ISLAND,Building/Use,15.0,5,12,2017-06-17T13:04:38.048065
19,DOB,STATEN ISLAND,Building/Use,16.0,6,12,2017-06-17T13:04:38.048065
20,DOB,STATEN ISLAND,Building/Use,17.0,3,12,2017-06-17T13:04:38.048065
21,DOB,STATEN ISLAND,Building/Use,19.0,2,12,2017-06-17T13:04:38.048065
22,DOB,STATEN ISLAND,Building/Use,20.0,1,12,2017-06-17T13:04:38.048065
23,DOB,STATEN ISLAND,Building/Use,21.0,6,12,2017-06-17T13:04:38.048065
24,DOB,STATEN ISLAND,Building/Use,22.0,2,12,2017-06-17T13:04:38.048065
25,DOB,STATEN ISLAND,Building/Use,23.0,2,12,2017-06-17T13:04:38.048065
26,DOB,STATEN ISLAND,Building/Use,24.0,2,12,2017-06-17T13:04:38.048065
27,DOB,STATEN ISLAND,Building/Use,25.0,1,12,2017-06-17T13:04:38.048065
28,DOB,STATEN ISLAND,Building/Use,26.0,2,12,2017-06-17T13:04:38.048065
29,DOB,STATEN ISLAND,Building/Use,28.0,1,12,2017-06-17T13:04:38.048065
30,DOB,STATEN ISLAND,Building/Use,29.0,2,12,2017-06-17T13:04:38.048065
31,DOB,STATEN ISLAND,Building/Use,30.0,1,12,2017-06-17T13:04:38.048065
32,DOB,STATEN ISLAND,Building/Use,31.0,2,12,2017-06-17T13:04:38.048065
33,DOB,STATEN ISLAND,Building/Use,32.0,7,12,2017-06-17T13:04:38.048065
34,DOB,STATEN ISLAND,Building/Use,33.0,3,12,2017-06-17T13:04:38.048065
35,DOB,STATEN ISLAND,Building/Use,34.0,1,12,2017-06-17T13:04:38.048065
36,DOB,STATEN ISLAND,Building/Use,35.0,3,12,2017-06-17T13:04:38.048065
37,DOB,STATEN ISLAND,Building/Use,36.0,1,12,2017-06-17T13:04:38.048065
38,DOB,STATEN ISLAND,Building/Use,39.0,1,12,2017-06-17T13:04:38.048065
39,DOB,STATEN ISLAND,Building/Use,40.0,2,12,2017-06-17T13:04:38.048065
40,DOB,STATEN ISLAND,Building/Use,42.0,1,12,2017-06-17T13:04:38.048065
41,DOB,STATEN ISLAND,Building/Use,44.0,2,12,2017-06-17T13:04:38.048065
42,DOB,STATEN ISLAND,Building/Use,45.0,3,12,2017-06-17T13:04:38.048065
43,DOB,STATEN ISLAND,Building/Use,46.0,1,12,2017-06-17T13:04:38.048065
44,DOB,STATEN ISLAND,Building/Use,47.0,1,12,2017-06-17T13:04:38.048065
45,DOB,STATEN ISLAND,Building/Use,49.0,2,12,2017-06-17T13:04:38.048065
46,DOB,STATEN ISLAND,Building/Use,51.0,1,12,2017-06-17T13:04:38.048065
47,DOB,STATEN ISLAND,Building/Use,52.0,2,12,2017-06-17T13:04:38.048065
48,DOB,STATEN ISLAND,Building/Use,57.0,1,12,2017-06-17T13:04:38.048065
49,DOB,STATEN ISLAND,Building/Use,59.0,2,12,2017-06-17T13:04:38.048065
50,DOB,STATEN ISLAND,Building/Use,62.0,2,12,2017-06-17T13:04:38.048065
51,DOB,STATEN ISLAND,Building/Use,68.0,1,12,2017-06-17T13:04:38.048065
52,DOB,STATEN ISLAND,Building/Use,70.0,1,12,2017-06-17T13:04:38.048065
53,DOB,STATEN ISLAND,Building/Use,71.0,1,12,2017-06-17T13:04:38.048065
54,DOB,STATEN ISLAND,Electrical,1.0,1,12,2017-06-17T13:04:38.048065
55,DOB,STATEN ISLAND,Electrical,2.0,8,12,2017-06-17T13:04:38.048065
56,DOB,STATEN ISLAND,Electrical,3.0,3,12,2017-06-17T13:04:38.048065
57,DOB,STATEN ISLAND,Electrical,4.0,5,12,2017-06-17T13:04:38.048065
58,DOB,STATEN ISLAND,Electrical,5.0,7,12,2017-06-17T13:04:38.048065
59,DOB,STATEN ISLAND,Electrical,6.0,4,12,2017-06-17T13:04:38.048065
60,DOB,STATEN ISLAND,Electrical,7.0,7,12,2017-06-17T13:04:38.048065
61,DOB,STATEN ISLAND,Electrical,8.0,4,12,2017-06-17T13:04:38.048065
62,DOB,STATEN ISLAND,Electrical,9.0,1,12,2017-06-17T13:04:38.048065
